id,threshold,text_pixels,context_pixels,mask_fill_ratio,refined_mask_fill_ratio,refined_mask_iou,refined_mask_precision,refined_mask_recall,expanded_mask_fill_ratio,expanded_mask_iou,expanded_mask_precision,expanded_mask_recall,refined_eroded_fill_ratio,refined_eroded_iou,refined_eroded_precision,refined_eroded_recall,refined_eroded_twice_fill_ratio,refined_eroded_twice_iou,refined_eroded_twice_precision,refined_eroded_twice_recall,refined_mask_fallback,pipeline_flat_background_used,legacy_fast_path,fixed_fast_path,legacy_outside_modified_ratio,fixed_outside_modified_ratio,pipeline_outside_modified_ratio,input_outside_mae,legacy_outside_mae,fixed_outside_mae,legacy_text_mae,fixed_text_mae,pipeline_outside_mae,pipeline_text_mae,legacy_context_psnr,fixed_context_psnr,pipeline_context_psnr,telea_r2_text_mae,telea_r2_context_psnr,telea_r3_text_mae,telea_r3_context_psnr,ns_r2_text_mae,ns_r2_context_psnr,ns_r3_text_mae,ns_r3_context_psnr,vertical_text_mae,vertical_context_psnr,vertical_telea_25_text_mae,vertical_telea_25_context_psnr,vertical_telea_50_text_mae,vertical_telea_50_context_psnr,vertical_telea_75_text_mae,vertical_telea_75_context_psnr,outside_mae_improvement,context_psnr_improvement
1,48,7026,13860,0.506926,0.556061,0.905211,0.908265,0.996299,0.653896,0.77524,0.77524,1.0,0.472078,0.841612,0.94773,0.882579,0.392136,0.732138,0.969089,0.749644,False,False,False,False,0.0,0.0,0.274217,0.489025,0.489025,0.489025,10.84861,10.633979,3.69364,11.239586,25.770608,26.179846,24.121762,10.84861,25.770608,10.633979,26.179846,11.003084,25.723832,10.835706,26.101744,11.273176,26.256237,10.246418,26.831265,10.205048,27.08898,10.532356,26.875173,0.0,0.409238
2,48,8166,16368,0.4989,0.718719,0.654491,0.67018,0.965467,0.790567,0.620298,0.62442,0.989469,0.653043,0.687701,0.718776,0.940852,0.586571,0.679618,0.748776,0.880358,False,False,True,False,1.0,0.0,0.58693,0.952247,56.396774,0.952247,55.303249,13.733366,14.462976,20.968691,11.675471,22.189432,16.077838,13.519512,22.125891,13.733366,22.189432,13.446322,21.949808,13.265123,22.157779,15.88648,20.58962,13.641113,22.306908,13.961711,22.025452,14.690057,21.413589,55.444527,10.513961
3,48,5270,14610,0.360712,0.511567,0.643751,0.667782,0.947059,0.625325,0.56604,0.569943,0.988046,0.430801,0.666042,0.734509,0.87723,0.354757,0.625914,0.776384,0.763567,False,False,False,False,0.0,0.0,0.385332,2.403712,2.403712,2.403712,15.553321,14.934282,7.780728,17.605946,22.345712,22.723928,18.361772,15.553321,22.345712,14.934282,22.723928,16.686907,22.280095,16.380709,22.351809,15.679696,23.666349,14.606515,23.591013,14.593991,24.113411,14.866035,24.140554,0.0,0.378216
4,48,7022,14880,0.471909,0.651613,0.592949,0.641811,0.886215,0.823723,0.572897,0.572897,1.0,0.518548,0.573228,0.695956,0.764739,0.399328,0.515371,0.742006,0.627884,False,False,False,False,0.0,0.0,0.595062,1.485026,1.485026,1.485026,14.607377,13.93022,9.000636,15.144451,24.400191,24.809934,22.08035,14.607377,24.400191,13.93022,24.809934,15.248647,24.05587,14.73602,24.349398,16.06304,23.728649,13.735735,25.014138,14.092471,24.869804,14.881468,24.413158,0.0,0.409743
5,48,7354,13972,0.526338,0.580017,0.907453,0.907453,1.0,0.665044,0.791433,0.791433,1.0,0.497638,0.85492,0.948368,0.896655,0.4212,0.747031,0.961937,0.769785,False,False,True,False,1.0,0.0,0.275461,0.27254,5.954518,0.27254,6.13308,6.510743,1.879319,6.652026,30.311015,32.618477,31.564578,6.705648,32.342005,6.510743,32.618477,6.707597,32.230707,6.549225,32.4619,7.35781,31.443457,6.452135,32.677282,6.575333,32.477551,6.87449,32.047697,5.681978,2.307462
6,48,6381,12987,0.491337,0.527066,0.830842,0.876844,0.940605,0.641796,0.759445,0.762088,0.995455,0.442134,0.764629,0.914838,0.823225,0.361515,0.652148,0.931203,0.685159,False,False,True,False,1.0,0.0,0.288828,1.701786,29.972601,1.701786,35.903984,16.831949,5.220809,17.059969,15.52606,22.045502,21.11376,17.374706,21.801961,16.831949,22.045502,17.833986,21.63074,17.567101,21.781625,18.437914,21.454924,16.369795,22.292107,16.545944,22.266127,17.2579,21.970726,28.270815,6.519442
7,48,10618,21792,0.487243,0.757067,0.627904,0.633956,0.985025,0.824523,0.588288,0.58927,0.997175,0.688372,0.673241,0.687154,0.970804,0.619402,0.709385,0.741443,0.94255,False,False,True,False,1.0,0.0,0.65026,1.285395,9.506056,1.285395,11.287374,5.045332,4.133972,7.057199,20.899391,28.64693,24.563429,5.249262,28.553607,5.045332,28.64693,5.622842,28.807249,5.470867,28.840701,5.742638,30.517927,4.812363,29.886273,4.879418,30.791852,5.178784,31.03965,8.220661,7.747539
8,48,8857,17723,0.499746,0.579642,0.676453,0.751387,0.871514,0.717034,0.696829,0.696884,0.999887,0.48801,0.649642,0.797086,0.778367,0.404108,0.595995,0.835242,0.675398,False,False,True,False,1.0,0.0,0.393751,0.861268,33.302242,0.861268,28.51338,14.777013,10.844161,20.111023,14.275065,23.021672,18.884435,15.052539,22.708605,14.777013,23.021672,15.643446,22.336616,15.215047,22.665305,15.26638,23.161999,13.700313,23.870161,13.444508,24.22439,13.955365,23.954334,32.440974,8.746607
9,48,4972,15221,0.326654,0.526509,0.588696,0.600449,0.96782,0.739176,0.441916,0.441916,1.0,0.376125,0.565949,0.675284,0.777554,0.257867,0.448315,0.701656,0.553902,False,False,True,False,1.0,0.0,0.56347,3.439132,19.126972,3.439132,17.100765,14.820395,5.879077,9.465406,21.03666,25.959355,27.571395,16.132139,25.484144,14.820395,25.959355,17.996313,24.882789,17.138979,25.170857,19.14776,24.514432,15.507039,25.763292,16.49296,25.438569,17.727407,25.012824,15.68784,4.922695
10,48,11789,20928,0.563312,0.793817,0.709625,0.709625,1.0,0.853402,0.660078,0.660078,1.0,0.730457,0.770599,0.770851,0.999576,0.664325,0.780704,0.810185,0.955467,False,False,False,False,0.0,0.0,0.658278,0.966882,0.966882,0.966882,14.647298,13.983487,9.293103,15.951848,23.819957,24.200554,21.865757,14.647298,23.819957,13.983487,24.200554,15.06458,23.545102,14.582718,23.842901,15.711228,23.271842,13.756128,24.34049,13.989737,24.211914,14.653152,23.835808,0.0,0.380597
11,48,6208,13230,0.469237,0.643764,0.591032,0.642245,0.881121,0.791988,0.58748,0.58933,0.994684,0.528647,0.576546,0.690306,0.777706,0.41489,0.539281,0.746584,0.660116,False,False,False,False,0.0,0.0,0.528197,1.504794,1.504794,1.504794,29.506496,27.994684,15.344299,26.461985,18.757426,19.104954,17.49949,29.506496,18.757426,27.994684,19.104954,30.604059,18.574775,29.580542,18.789678,30.581562,18.651707,27.023195,19.374662,27.128651,19.3828,28.349012,19.127962,0.0,0.347528
12,48,7584,14756,0.51396,0.584576,0.750162,0.805472,0.916139,0.682841,0.75268,0.75268,1.0,0.509013,0.741664,0.855811,0.847574,0.43833,0.704306,0.897805,0.765691,False,False,False,False,0.0,0.0,0.313302,0.500232,0.500232,0.500232,10.386472,10.081927,6.46491,14.026942,24.074415,24.266759,18.814084,10.386472,24.074415,10.081927,24.266759,10.236858,23.909128,10.043556,23.984647,11.165744,24.137876,9.758175,24.692113,9.86955,24.819772,10.285206,24.619384,0.0,0.192344
13,48,4579,13188,0.34721,0.584698,0.579692,0.584879,0.984931,0.741887,0.468009,0.468009,1.0,0.463907,0.573551,0.6373,0.851496,0.360934,0.514842,0.666807,0.693164,False,False,True,False,0.999884,0.0,0.558021,3.93743,12.734309,3.93743,15.36398,18.459707,6.544275,10.839193,22.123027,24.39209,25.026356,19.89299,24.006205,18.459707,24.39209,21.827108,23.555768,20.910315,23.772337,20.588848,23.683852,18.49152,24.407256,18.870642,24.285099,19.587975,24.037789,8.796879,2.269063
14,48,5730,13664,0.41935,0.556279,0.753848,0.753848,1.0,0.635246,0.660138,0.660138,1.0,0.47863,0.778003,0.820948,0.936998,0.402444,0.710434,0.848154,0.813962,False,False,True,False,1.0,0.0,0.328838,0.918032,3.348878,0.918032,3.484468,4.318208,0.622175,1.682141,35.535276,33.981319,43.595095,5.204188,32.750018,4.318208,33.981319,6.374404,31.473339,5.874869,32.13997,4.603141,32.053667,4.220477,34.057826,4.220593,33.688506,4.305992,32.970749,2.430846,-1.553957
15,48,8498,17424,0.487718,0.469295,0.729054,0.859851,0.827371,0.656049,0.743417,0.743417,1.0,0.397268,0.653265,0.880237,0.716992,0.328627,0.564969,0.896787,0.60426,False,False,True,False,1.0,0.0,0.318732,0.715102,8.828366,0.715102,7.516357,4.194242,1.988461,7.543853,26.613744,34.842939,29.456817,4.168628,34.842826,4.194242,34.842939,4.020475,34.738313,4.021809,34.77769,7.213619,30.490098,4.447046,34.460689,5.173884,33.35186,6.135679,31.930966,8.113264,8.229195
16,48,10885,19152,0.568348,0.767387,0.727813,0.733211,0.989986,0.833438,0.678147,0.679677,0.996693,0.700292,0.780783,0.794289,0.978686,0.63043,0.764991,0.824168,0.914194,False,False,False,False,0.0,0.0,0.615943,1.286884,1.286884,1.286884,14.247221,14.301761,10.584694,21.658428,21.73876,21.788962,17.685545,14.247221,21.73876,14.301761,21.788962,14.226856,21.56822,13.973419,21.718552,17.955259,19.620303,14.363008,21.710135,15.094503,21.248577,16.305895,20.511031,0.0,0.050202
17,48,6323,13748,0.459921,0.590631,0.7776,0.778079,0.999209,0.687809,0.668676,0.668676,1.0,0.504873,0.811032,0.855784,0.939427,0.426098,0.758989,0.897235,0.831251,False,False,True,False,1.0,0.0,0.400269,0.710123,31.474613,0.710123,37.754124,13.048448,5.98303,13.419949,14.237589,24.627439,22.780018,13.619801,24.296193,13.048448,24.627439,13.976805,24.094102,13.826454,24.195019,13.171648,24.565728,12.527597,24.955653,12.374189,25.056652,12.567822,24.921259,30.76449,10.38985
18,48,10695,18000,0.594167,0.771056,0.770589,0.770589,1.0,0.839167,0.708044,0.708044,1.0,0.703056,0.837859,0.841169,0.995325,0.633611,0.79558,0.858571,0.915568,False,False,True,False,1.0,0.0,0.598494,1.284463,58.456036,1.284463,45.738041,17.64435,12.892448,24.272369,11.575915,20.984791,16.865679,17.631012,20.72293,17.64435,20.984791,16.66115,20.932852,16.64432,21.057726,23.662615,19.546804,17.650553,21.35075,18.984665,21.174858,21.079945,20.512033,57.171573,9.408876
19,48,9754,19248,0.506754,0.761014,0.64434,0.652785,0.980316,0.830995,0.606,0.60744,0.996104,0.690721,0.692664,0.70944,0.966988,0.619025,0.69873,0.748049,0.913779,False,False,True,False,1.0,0.0,0.640615,1.241135,44.986973,1.241135,57.601292,8.135808,6.495576,11.368806,11.580702,26.99947,22.229041,8.409678,26.698963,8.135808,26.99947,8.701866,26.455781,8.480453,26.678231,7.978095,27.23986,7.574875,27.609526,7.390336,27.884113,7.515789,27.747061,43.745838,15.418768
20,48,5065,12555,0.403425,0.520749,0.731533,0.749771,0.967818,0.621107,0.643414,0.645807,0.994274,0.438072,0.740814,0.817455,0.88766,0.359857,0.676522,0.85591,0.763475,False,False,True,False,1.0,0.0,0.33765,1.652025,25.189453,1.652025,21.013689,8.14518,2.558745,6.858046,17.854359,28.129271,26.668623,8.639421,27.700162,8.14518,28.129271,9.124054,27.346264,8.821651,27.601169,6.911155,29.299631,7.592629,28.873992,7.163475,29.37991,6.8897,29.533931,23.537428,10.274912
21,48,8041,15264,0.526795,0.687172,0.709252,0.733054,0.956224,0.769523,0.668663,0.675038,0.986071,0.611177,0.764347,0.806625,0.935829,0.535639,0.746392,0.847725,0.861957,False,False,True,False,1.0,0.0,0.523328,1.050718,15.837925,1.050718,19.348713,4.275588,2.901149,10.343448,18.109066,33.957693,22.940026,4.281143,33.949668,4.275588,33.957693,4.086764,34.055576,4.074203,34.048201,4.014219,34.611858,3.91419,34.784981,3.72748,35.239445,3.752726,35.176156,14.787207,15.848627
22,48,7328,15000,0.488533,0.584933,0.822524,0.828243,0.991676,0.699867,0.697876,0.697942,0.999864,0.4954,0.785075,0.873503,0.885781,0.4132,0.708044,0.904647,0.765147,False,False,False,False,0.0,0.0,0.374348,0.676225,0.676225,0.676225,15.548445,15.362901,8.776069,16.638556,22.564927,22.794628,19.557945,15.548445,22.564927,15.362901,22.794628,15.615084,22.430738,15.333152,22.737494,13.803493,23.376387,14.295715,23.382378,13.592295,23.708318,13.329831,23.707632,0.0,0.229701
23,48,8799,18912,0.46526,0.716,0.622957,0.633262,0.974543,0.792936,0.583062,0.584423,0.996022,0.643401,0.675216,0.694527,0.96045,0.570696,0.700547,0.747799,0.917263,False,False,True,False,0.998517,0.0,0.578068,0.953229,15.918488,0.953229,15.446982,7.471303,5.211049,9.186953,20.613883,26.292281,23.748179,7.94954,25.694645,7.471303,26.292281,8.066864,25.558429,7.765125,25.747528,8.085843,25.51434,7.276357,26.440419,7.268932,26.345914,7.52237,26.021151,14.965259,5.678398
24,48,7579,15040,0.503923,0.517819,0.881136,0.924242,0.94973,0.621543,0.795206,0.802097,0.989313,0.442753,0.796593,0.94804,0.832959,0.371609,0.686259,0.958848,0.707085,False,False,False,False,0.0,0.0,0.236295,0.804092,0.804092,0.804092,18.984255,19.044598,6.153063,23.193825,21.030997,21.080942,18.525095,18.984255,21.030997,19.044598,21.080942,18.389145,21.205414,18.420284,21.223794,22.188459,20.182501,18.56296,21.485438,19.106699,21.44402,20.309978,20.970098,0.0,0.049945
25,48,9593,17280,0.55515,0.775752,0.715628,0.715628,1.0,0.841377,0.659812,0.659812,1.0,0.710995,0.775605,0.777877,0.996247,0.644329,0.754444,0.800521,0.929115,False,False,True,False,0.995057,0.0,0.627553,0.814188,27.010059,0.814188,23.60704,15.415477,16.237024,18.822649,16.624417,22.915027,17.977542,15.865701,22.540677,15.415477,22.915027,15.452344,22.741148,15.301643,22.869722,21.860003,19.84736,15.351819,23.054419,16.720804,22.389204,19.067202,21.207733,26.195871,6.29061
