id,threshold,text_pixels,context_pixels,mask_fill_ratio,refined_mask_fill_ratio,refined_mask_iou,refined_mask_precision,refined_mask_recall,expanded_mask_fill_ratio,expanded_mask_iou,expanded_mask_precision,expanded_mask_recall,refined_eroded_fill_ratio,refined_eroded_iou,refined_eroded_precision,refined_eroded_recall,refined_eroded_twice_fill_ratio,refined_eroded_twice_iou,refined_eroded_twice_precision,refined_eroded_twice_recall,refined_mask_fallback,pipeline_flat_background_used,legacy_fast_path,fixed_fast_path,legacy_outside_modified_ratio,fixed_outside_modified_ratio,pipeline_outside_modified_ratio,input_outside_mae,legacy_outside_mae,fixed_outside_mae,legacy_text_mae,fixed_text_mae,pipeline_outside_mae,pipeline_text_mae,legacy_context_psnr,fixed_context_psnr,pipeline_context_psnr,telea_r2_text_mae,telea_r2_context_psnr,telea_r3_text_mae,telea_r3_context_psnr,ns_r2_text_mae,ns_r2_context_psnr,ns_r3_text_mae,ns_r3_context_psnr,vertical_text_mae,vertical_context_psnr,vertical_telea_25_text_mae,vertical_telea_25_context_psnr,vertical_telea_50_text_mae,vertical_telea_50_context_psnr,vertical_telea_75_text_mae,vertical_telea_75_context_psnr,outside_mae_improvement,context_psnr_improvement
1,48,7026,13860,0.506926,0.556061,0.905211,0.908265,0.996299,0.561688,0.896658,0.899422,0.996584,0.472078,0.841612,0.94773,0.882579,0.392136,0.732138,0.969089,0.749644,False,False,False,False,0.0,0.0,0.114135,0.489025,0.489025,0.489025,10.84861,10.247841,2.207833,10.48572,25.770608,26.832378,25.21379,10.84861,25.770608,10.633979,26.179846,11.003084,25.723832,10.835706,26.101744,11.273176,26.256237,10.246418,26.831265,10.205048,27.08898,10.532356,26.875173,0.0,1.06177
2,48,8166,16368,0.4989,0.718719,0.654491,0.67018,0.965467,0.726051,0.657847,0.669472,0.974284,0.653043,0.687701,0.718776,0.940852,0.586571,0.679618,0.748776,0.880358,False,False,True,False,1.0,0.0,0.475006,0.952247,56.396774,0.952247,55.303249,13.669075,13.889377,23.233162,11.675471,22.307496,16.066084,13.519512,22.125891,13.733366,22.189432,13.446322,21.949808,13.265123,22.157779,15.88648,20.58962,13.641113,22.306908,13.961711,22.025452,14.690057,21.413589,55.444527,10.632025
3,48,5270,14610,0.360712,0.511567,0.643751,0.667782,0.947059,0.530938,0.637175,0.653603,0.962049,0.430801,0.666042,0.734509,0.87723,0.354757,0.625914,0.776384,0.763567,False,False,False,False,0.0,0.0,0.284154,2.403712,2.403712,2.403712,15.553321,14.556293,6.60646,17.774384,22.345712,23.603186,19.148589,15.553321,22.345712,14.934282,22.723928,16.686907,22.280095,16.380709,22.351809,15.679696,23.666349,14.606515,23.591013,14.593991,24.113411,14.866035,24.140554,0.0,1.257474
4,48,7022,14880,0.471909,0.651613,0.592949,0.641811,0.886215,0.689785,0.609647,0.63786,0.932355,0.518548,0.573228,0.695956,0.764739,0.399328,0.515371,0.742006,0.627884,False,False,False,False,0.0,0.0,0.470858,1.485026,1.485026,1.485026,14.607377,13.710101,7.68181,13.923716,24.400191,25.026493,22.788166,14.607377,24.400191,13.93022,24.809934,15.248647,24.05587,14.73602,24.349398,16.06304,23.728649,13.735735,25.014138,14.092471,24.869804,14.881468,24.413158,0.0,0.626302
5,48,7354,13972,0.526338,0.580017,0.907453,0.907453,1.0,0.580232,0.907117,0.907117,1.0,0.497638,0.85492,0.948368,0.896655,0.4212,0.747031,0.961937,0.769785,False,False,True,False,1.0,0.0,0.112421,0.27254,5.954518,0.27254,6.13308,6.461835,0.977335,6.561146,30.311015,32.669038,32.103712,6.705648,32.342005,6.510743,32.618477,6.707597,32.230707,6.549225,32.4619,7.35781,31.443457,6.452135,32.677282,6.575333,32.477551,6.87449,32.047697,5.681978,2.358023
6,48,6381,12987,0.491337,0.527066,0.830842,0.876844,0.940605,0.546008,0.843459,0.869271,0.965993,0.442134,0.764629,0.914838,0.823225,0.361515,0.652148,0.931203,0.685159,False,False,True,False,1.0,0.0,0.140176,1.701786,29.972601,1.701786,35.903984,16.351513,3.410839,15.910672,15.52606,22.300218,21.934041,17.374706,21.801961,16.831949,22.045502,17.833986,21.63074,17.567101,21.781625,18.437914,21.454924,16.369795,22.292107,16.545944,22.266127,17.2579,21.970726,28.270815,6.774158
7,48,10618,21792,0.487243,0.757067,0.627904,0.633956,0.985025,0.758856,0.63005,0.634698,0.98851,0.688372,0.673241,0.687154,0.970804,0.619402,0.709385,0.741443,0.94255,False,False,True,False,1.0,0.0,0.535439,1.285395,9.506056,1.285395,11.287374,4.783167,3.842909,7.407641,20.899391,29.904142,24.810609,5.249262,28.553607,5.045332,28.64693,5.622842,28.807249,5.470867,28.840701,5.742638,30.517927,4.812363,29.886273,4.879418,30.791852,5.178784,31.03965,8.220661,9.004751
8,48,8857,17723,0.499746,0.579642,0.676453,0.751387,0.871514,0.617728,0.704242,0.747534,0.924015,0.48801,0.649642,0.797086,0.778367,0.404108,0.595995,0.835242,0.675398,False,False,True,False,1.0,0.0,0.310963,0.861268,33.302242,0.861268,28.51338,13.691356,8.707384,19.166948,14.275065,23.877064,19.766729,15.052539,22.708605,14.777013,23.021672,15.643446,22.336616,15.215047,22.665305,15.26638,23.161999,13.700313,23.870161,13.444508,24.22439,13.955365,23.954334,32.440974,9.601999
9,48,4972,15221,0.326654,0.526509,0.588696,0.600449,0.96782,0.585638,0.542889,0.548127,0.982703,0.376125,0.565949,0.675284,0.777554,0.257867,0.448315,0.701656,0.553902,False,False,True,False,1.0,0.0,0.39077,3.439132,19.126972,3.439132,17.100765,15.427527,4.771782,9.49229,21.03666,25.788125,27.962343,16.132139,25.484144,14.820395,25.959355,17.996313,24.882789,17.138979,25.170857,19.14776,24.514432,15.507039,25.763292,16.49296,25.438569,17.727407,25.012824,15.68784,4.751465
10,48,11789,20928,0.563312,0.793817,0.709625,0.709625,1.0,0.794104,0.709369,0.709369,1.0,0.730457,0.770599,0.770851,0.999576,0.664325,0.780704,0.810185,0.955467,False,False,False,False,0.0,0.0,0.526316,0.966882,0.966882,0.966882,14.647298,13.733735,7.930408,15.130093,23.819957,24.350902,22.343583,14.647298,23.819957,13.983487,24.200554,15.06458,23.545102,14.582718,23.842901,15.711228,23.271842,13.756128,24.34049,13.989737,24.211914,14.653152,23.835808,0.0,0.530945
